player_name,team,conf,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,porpag,adjoe,pfr,pid,ast.tov,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,extra,ET,VaCatEf
DeAndrae Ross,South Alabama,SB,26,29.5,97.3,16.6,42.5,44.43,1.6,4.6,15.8,16.3,10,14,0.714,26,68,0.382,13,39,0.333,0.3,1.5,13.1,0.258086,89.3938,2.5,2,1.82364629,108.321,108.527,0.893017,49.9644,-4.99514,-1.62336,-3.37178,-4.72315,14.5769,-2.78199,-1.94115,0.1923,0.6154,0.8077,1.1923,0.3462,0.0385,3.8846,6.22026,0.294117647,MEDIO
Pooh Williams,Utah St.,WAC,34,60.9,108.3,14.9,52.4,54.48,3.8,6.3,13.6,19.8,30,45,0.667,56,113,0.496,20,51,0.392,1,1.1,27.4,1.33492,100.066,3.4,3,1.63162142,105.078,104.017,1.88003,111.929,0.593024,1.38549,-0.792469,-0.300196,24.5294,-0.0522628,-0.247934,0.6765,1.2647,1.9412,1.8235,0.4118,0.2353,5.9412,3.94375,0.361270172,MEDIO
Jesus Verdejo,South Florida,BE,27,72,96.2,21.8,45.7,47.98,2.1,8,14.7,15.9,45,67,0.672,67,157,0.427,50,154,0.325,0,0.9,21.5,2.27407,104.107,1.7,5,1.08166191,107.556,102.154,2.76387,115.021,0.0031609,1.02477,-1.02161,0.665065,33.1852,1.54823,-0.883163,0.6296,2.3333,2.963,1.963,0.4815,0,12.1852,10.9268,0.304588193,MEDIO
Mike Hornbuckle,Pepperdine,WCC,30,44.5,97.7,16,53.6,53.69,4.1,9.4,13.7,23.8,14,27,0.519,25,63,0.397,28,62,0.452,0.8,1.9,21.6,0.552857,93.2086,2,8,0.94283022,108.858,106.556,1.21871,84.1698,-0.977798,-0.502574,-0.475224,-0.736233,17.9667,-0.342775,-0.393459,0.7,1.4333,2.1333,1.1,0.5667,0.1333,4.9333,6.77427,0.358081584,MEDIO
Dana Smith,Longwood,ind,27,77.8,104.8,23,53.4,56.3,6.8,14.5,12.1,17.1,94,143,0.657,138,247,0.559,14,51,0.275,2.2,3,48,2.16006,104.276,4.7,13,0.77778251,101.209,107.432,2.0386,177.853,-0.484561,0.462757,-0.947318,0.194857,31.1111,1.10325,-0.908391,2.1481,3.8889,6.037,1.8148,1.7778,0.7407,15.2593,3.22107,0.32348972,MEDIO
Justin Drummond,Wagner,NEC,30,82.8,99.7,20.5,48.8,53.07,2.9,13.9,25.5,23.9,76,109,0.697,82,187,0.439,25,58,0.431,2.6,3.1,44.5,1.39939,96.4402,2.1,18,1.49394578,97.5982,104.375,2.51666,204.494,0.5677,-0.665147,1.23285,1.17026,33.2667,0.250984,0.919272,0.8,3.9333,4.7333,4.1333,1.7333,0.8,10.5,3.42016,0.361684799,MEDIO
Jamal Smith,Wagner,NEC,30,80.4,92.5,23,43.5,45.29,6.4,12.6,11.9,14.5,64,120,0.533,128,281,0.456,12,55,0.218,0.3,2.3,35.7,0.881212,92.162,2.4,20,0.94545354,101.007,108.02,2.03664,172.97,-3.65881,-1.92592,-1.73289,-3.80561,32.3,-1.89254,-1.91307,1.7333,3.4667,5.2,1.7333,1.2333,0.1,11.8667,3.34007,0.260929581,BAJO
Tyrell Biggs,Pittsburgh,BE,34,57.9,113.9,13.7,55.3,56.37,9.8,10.8,4.9,18.7,22,34,0.647,72,136,0.529,18,43,0.419,2.1,1,19,2.05143,109.082,3.9,22,0.68573928,100.266,94.3229,2.64074,127.819,6.36771,4.08826,2.27945,3.52291,23.8235,1.96526,1.55765,2,2.2941,4.2941,0.7059,0.4118,0.4706,6.4706,3.14112,0.385772914,MEDIO
Simon Harris,North Carolina St.,ACC,19,18.4,95.1,8.2,45.2,48.39,6.9,12.9,3.8,26.3,5,8,0.625,8,16,0.5,1,5,0.2,1.3,0.8,38.1,-0.2474,78.1524,4.3,26,0.62502973,106.336,105.571,0.837378,34.3618,0.188398,0.164282,0.0241155,-2.40273,11.7368,-2.79075,0.388021,0.6316,1.3684,2,0.2632,0.1579,0.1579,1.2632,1.34027,0.266666667,BAJO
Gary Wilkinson,Utah St.,WAC,34,79.9,124.8,24,57.9,63.97,7.2,18.9,8.5,13,162,195,0.831,197,337,0.585,6,19,0.316,1.3,0.9,54.8,5.19429,131.088,2.3,27,0.79246854,100.223,99.2109,3.00156,184.235,2.81269,3.63873,-0.82604,5.36295,32.2059,5.59636,-0.233409,1.6765,4.9706,6.6471,1.2353,0.4706,0.3824,16.8824,1.11986,0.352751314,MEDIO
